period,n,days_since_index,dow
730,27,-730,dow_2
729,31,-729,dow_1
728,34,-728,dow_0
727,19,-727,dow_6
726,21,-726,dow_5
725,18,-725,dow_4
724,19,-724,dow_3
723,21,-723,dow_2
722,26,-722,dow_1
721,29,-721,dow_0
720,33,-720,dow_6
719,20,-719,dow_5
718,19,-718,dow_4
717,22,-717,dow_3
716,19,-716,dow_2
715,28,-715,dow_1
714,29,-714,dow_0
713,30,-713,dow_6
712,19,-712,dow_5
711,25,-711,dow_4
710,21,-710,dow_3
709,25,-709,dow_2
708,33,-708,dow_1
707,29,-707,dow_0
706,32,-706,dow_6
705,25,-705,dow_5
704,16,-704,dow_4
703,14,-703,dow_3
702,21,-702,dow_2
701,34,-701,dow_1
700,29,-700,dow_0
699,30,-699,dow_6
698,19,-698,dow_5
697,29,-697,dow_4
696,13,-696,dow_3
695,21,-695,dow_2
694,24,-694,dow_1
693,44,-693,dow_0
692,25,-692,dow_6
691,25,-691,dow_5
690,24,-690,dow_4
689,13,-689,dow_3
688,16,-688,dow_2
687,24,-687,dow_1
686,26,-686,dow_0
685,34,-685,dow_6
684,24,-684,dow_5
683,17,-683,dow_4
682,20,-682,dow_3
681,25,-681,dow_2
680,26,-680,dow_1
679,34,-679,dow_0
678,24,-678,dow_6
677,19,-677,dow_5
676,19,-676,dow_4
675,20,-675,dow_3
674,24,-674,dow_2
673,27,-673,dow_1
672,31,-672,dow_0
671,29,-671,dow_6
670,20,-670,dow_5
669,15,-669,dow_4
668,23,-668,dow_3
667,20,-667,dow_2
666,22,-666,dow_1
665,32,-665,dow_0
664,31,-664,dow_6
663,14,-663,dow_5
662,27,-662,dow_4
661,27,-661,dow_3
660,21,-660,dow_2
659,30,-659,dow_1
658,26,-658,dow_0
657,24,-657,dow_6
656,24,-656,dow_5
655,21,-655,dow_4
654,19,-654,dow_3
653,18,-653,dow_2
652,29,-652,dow_1
651,22,-651,dow_0
650,23,-650,dow_6
649,16,-649,dow_5
648,30,-648,dow_4
647,21,-647,dow_3
646,23,-646,dow_2
645,24,-645,dow_1
644,44,-644,dow_0
643,23,-643,dow_6
642,23,-642,dow_5
641,18,-641,dow_4
640,24,-640,dow_3
639,18,-639,dow_2
638,29,-638,dow_1
637,38,-637,dow_0
636,36,-636,dow_6
635,22,-635,dow_5
634,27,-634,dow_4
633,18,-633,dow_3
632,21,-632,dow_2
631,28,-631,dow_1
630,41,-630,dow_0
629,32,-629,dow_6
628,19,-628,dow_5
627,18,-627,dow_4
626,21,-626,dow_3
625,27,-625,dow_2
624,29,-624,dow_1
623,31,-623,dow_0
622,21,-622,dow_6
621,23,-621,dow_5
620,10,-620,dow_4
619,22,-619,dow_3
618,26,-618,dow_2
617,29,-617,dow_1
616,27,-616,dow_0
615,21,-615,dow_6
614,21,-614,dow_5
613,26,-613,dow_4
612,17,-612,dow_3
611,21,-611,dow_2
610,29,-610,dow_1
609,31,-609,dow_0
608,36,-608,dow_6
607,23,-607,dow_5
606,28,-606,dow_4
605,27,-605,dow_3
604,28,-604,dow_2
603,31,-603,dow_1
602,40,-602,dow_0
601,27,-601,dow_6
600,28,-600,dow_5
599,23,-599,dow_4
598,27,-598,dow_3
597,24,-597,dow_2
596,22,-596,dow_1
595,45,-595,dow_0
594,26,-594,dow_6
593,24,-593,dow_5
592,16,-592,dow_4
591,29,-591,dow_3
590,28,-590,dow_2
589,23,-589,dow_1
588,38,-588,dow_0
587,27,-587,dow_6
586,29,-586,dow_5
585,15,-585,dow_4
584,21,-584,dow_3
583,26,-583,dow_2
582,36,-582,dow_1
581,40,-581,dow_0
580,30,-580,dow_6
579,26,-579,dow_5
578,21,-578,dow_4
577,30,-577,dow_3
576,28,-576,dow_2
575,24,-575,dow_1
574,45,-574,dow_0
573,30,-573,dow_6
572,28,-572,dow_5
571,23,-571,dow_4
570,19,-570,dow_3
569,24,-569,dow_2
568,27,-568,dow_1
567,31,-567,dow_0
566,20,-566,dow_6
565,16,-565,dow_5
564,21,-564,dow_4
563,22,-563,dow_3
562,23,-562,dow_2
561,30,-561,dow_1
560,41,-560,dow_0
559,32,-559,dow_6
558,26,-558,dow_5
557,20,-557,dow_4
556,26,-556,dow_3
555,30,-555,dow_2
554,30,-554,dow_1
553,34,-553,dow_0
552,41,-552,dow_6
551,25,-551,dow_5
550,18,-550,dow_4
549,29,-549,dow_3
548,26,-548,dow_2
547,20,-547,dow_1
546,32,-546,dow_0
545,27,-545,dow_6
544,19,-544,dow_5
543,16,-543,dow_4
542,31,-542,dow_3
541,21,-541,dow_2
540,29,-540,dow_1
539,28,-539,dow_0
538,37,-538,dow_6
537,21,-537,dow_5
536,20,-536,dow_4
535,21,-535,dow_3
534,28,-534,dow_2
533,33,-533,dow_1
532,32,-532,dow_0
531,26,-531,dow_6
530,28,-530,dow_5
529,18,-529,dow_4
528,17,-528,dow_3
527,26,-527,dow_2
526,34,-526,dow_1
525,43,-525,dow_0
524,19,-524,dow_6
523,21,-523,dow_5
522,16,-522,dow_4
521,20,-521,dow_3
520,32,-520,dow_2
519,36,-519,dow_1
518,42,-518,dow_0
517,27,-517,dow_6
516,20,-516,dow_5
515,26,-515,dow_4
514,24,-514,dow_3
513,21,-513,dow_2
512,32,-512,dow_1
511,30,-511,dow_0
510,27,-510,dow_6
509,23,-509,dow_5
508,17,-508,dow_4
507,22,-507,dow_3
506,13,-506,dow_2
505,22,-505,dow_1
504,44,-504,dow_0
503,30,-503,dow_6
502,24,-502,dow_5
501,18,-501,dow_4
500,26,-500,dow_3
499,25,-499,dow_2
498,24,-498,dow_1
497,36,-497,dow_0
496,29,-496,dow_6
495,26,-495,dow_5
494,23,-494,dow_4
493,24,-493,dow_3
492,20,-492,dow_2
491,29,-491,dow_1
490,33,-490,dow_0
489,17,-489,dow_6
488,30,-488,dow_5
487,27,-487,dow_4
486,25,-486,dow_3
485,29,-485,dow_2
484,30,-484,dow_1
483,35,-483,dow_0
482,25,-482,dow_6
481,26,-481,dow_5
480,16,-480,dow_4
479,26,-479,dow_3
478,30,-478,dow_2
477,26,-477,dow_1
476,33,-476,dow_0
475,30,-475,dow_6
474,20,-474,dow_5
473,34,-473,dow_4
472,22,-472,dow_3
471,28,-471,dow_2
470,27,-470,dow_1
469,36,-469,dow_0
468,40,-468,dow_6
467,19,-467,dow_5
466,23,-466,dow_4
465,29,-465,dow_3
464,27,-464,dow_2
463,24,-463,dow_1
462,36,-462,dow_0
461,31,-461,dow_6
460,21,-460,dow_5
459,31,-459,dow_4
458,25,-458,dow_3
457,34,-457,dow_2
456,29,-456,dow_1
455,30,-455,dow_0
454,33,-454,dow_6
453,24,-453,dow_5
452,27,-452,dow_4
451,21,-451,dow_3
450,28,-450,dow_2
449,24,-449,dow_1
448,24,-448,dow_0
447,27,-447,dow_6
446,20,-446,dow_5
445,18,-445,dow_4
444,22,-444,dow_3
443,26,-443,dow_2
442,38,-442,dow_1
441,36,-441,dow_0
440,30,-440,dow_6
439,16,-439,dow_5
438,19,-438,dow_4
437,18,-437,dow_3
436,18,-436,dow_2
435,30,-435,dow_1
434,43,-434,dow_0
433,26,-433,dow_6
432,26,-432,dow_5
431,23,-431,dow_4
430,22,-430,dow_3
429,21,-429,dow_2
428,26,-428,dow_1
427,33,-427,dow_0
426,42,-426,dow_6
425,22,-425,dow_5
424,22,-424,dow_4
423,25,-423,dow_3
422,18,-422,dow_2
421,29,-421,dow_1
420,48,-420,dow_0
419,37,-419,dow_6
418,27,-418,dow_5
417,24,-417,dow_4
416,23,-416,dow_3
415,22,-415,dow_2
414,30,-414,dow_1
413,37,-413,dow_0
412,31,-412,dow_6
411,24,-411,dow_5
410,21,-410,dow_4
409,31,-409,dow_3
408,27,-408,dow_2
407,33,-407,dow_1
406,26,-406,dow_0
405,31,-405,dow_6
404,17,-404,dow_5
403,25,-403,dow_4
402,25,-402,dow_3
401,31,-401,dow_2
400,24,-400,dow_1
399,41,-399,dow_0
398,31,-398,dow_6
397,26,-397,dow_5
396,18,-396,dow_4
395,24,-395,dow_3
394,31,-394,dow_2
393,31,-393,dow_1
392,36,-392,dow_0
391,34,-391,dow_6
390,28,-390,dow_5
389,16,-389,dow_4
388,27,-388,dow_3
387,22,-387,dow_2
386,27,-386,dow_1
385,43,-385,dow_0
384,22,-384,dow_6
383,30,-383,dow_5
382,23,-382,dow_4
381,37,-381,dow_3
380,26,-380,dow_2
379,29,-379,dow_1
378,45,-378,dow_0
377,29,-377,dow_6
376,24,-376,dow_5
375,26,-375,dow_4
374,25,-374,dow_3
373,30,-373,dow_2
372,38,-372,dow_1
371,51,-371,dow_0
370,43,-370,dow_6
369,24,-369,dow_5
368,27,-368,dow_4
367,25,-367,dow_3
366,31,-366,dow_2
365,29,-365,dow_1
364,48,-364,dow_0
363,34,-363,dow_6
362,22,-362,dow_5
361,32,-361,dow_4
360,32,-360,dow_3
359,23,-359,dow_2
358,35,-358,dow_1
357,39,-357,dow_0
356,23,-356,dow_6
355,26,-355,dow_5
354,24,-354,dow_4
353,33,-353,dow_3
352,27,-352,dow_2
351,30,-351,dow_1
350,29,-350,dow_0
349,48,-349,dow_6
348,25,-348,dow_5
347,26,-347,dow_4
346,30,-346,dow_3
345,32,-345,dow_2
344,32,-344,dow_1
343,39,-343,dow_0
342,32,-342,dow_6
341,23,-341,dow_5
340,22,-340,dow_4
339,21,-339,dow_3
338,30,-338,dow_2
337,26,-337,dow_1
336,43,-336,dow_0
335,23,-335,dow_6
334,24,-334,dow_5
333,27,-333,dow_4
332,24,-332,dow_3
331,29,-331,dow_2
330,40,-330,dow_1
