days_since_index,n,dow
-180,193,2
-179,185,3
-178,195,4
-177,176,5
-176,203,6
-175,226,0
-174,203,1
-173,172,2
-172,144,3
-171,165,4
-170,198,5
-169,222,6
-168,252,0
-167,182,1
-166,176,2
-165,201,3
-164,178,4
-163,194,5
-162,182,6
-161,254,0
-160,189,1
-159,187,2
-158,186,3
-157,179,4
-156,173,5
-155,222,6
-154,241,0
-153,222,1
-152,200,2
-151,181,3
-150,189,4
-149,182,5
-148,195,6
-147,261,0
-146,186,1
-145,188,2
-144,197,3
-143,160,4
-142,195,5
-141,224,6
-140,257,0
-139,212,1
-138,205,2
-137,195,3
-136,198,4
-135,179,5
-134,228,6
-133,238,0
-132,177,1
-131,186,2
-130,178,3
-129,165,4
-128,183,5
-127,223,6
-126,283,0
-125,221,1
-124,192,2
-123,215,3
-122,166,4
-121,199,5
-120,213,6
-119,244,0
-118,189,1
-117,180,2
-116,206,3
-115,188,4
-114,182,5
-113,190,6
-112,255,0
-111,194,1
-110,199,2
-109,192,3
-108,189,4
-107,181,5
-106,195,6
-105,246,0
-104,199,1
-103,205,2
-102,213,3
-101,196,4
-100,175,5
-99,211,6
-98,272,0
-97,208,1
-96,179,2
-95,206,3
-94,180,4
-93,163,5
-92,217,6
-91,263,0
-90,210,1
-89,201,2
-88,188,3
-87,170,4
-86,173,5
-85,217,6
-84,246,0
-83,204,1
-82,220,2
-81,178,3
-80,172,4
-79,168,5
-78,201,6
-77,253,0
-76,212,1
-75,193,2
-74,193,3
-73,188,4
-72,204,5
-71,191,6
-70,274,0
-69,223,1
-68,200,2
-67,174,3
-66,208,4
-65,208,5
-64,216,6
-63,277,0
-62,198,1
-61,212,2
-60,181,3
-59,175,4
-58,187,5
-57,250,6
-56,264,0
-55,211,1
-54,188,2
-53,209,3
-52,208,4
-51,184,5
-50,220,6
-49,254,0
-48,211,1
-47,184,2
-46,180,3
-45,199,4
-44,196,5
-43,213,6
-42,282,0
-41,232,1
-40,187,2
-39,216,3
-38,198,4
-37,230,5
-36,240,6
-35,285,0
-34,239,1
-33,237,2
-32,202,3
-31,201,4
-30,208,5
-29,251,6
-28,314,0
-27,225,1
-26,241,2
-25,195,3
-24,228,4
-23,218,5
-22,255,6
-21,323,0
-20,263,1
-19,227,2
-18,247,3
-17,217,4
-16,249,5
-15,274,6
-14,358,0
-13,288,1
-12,258,2
-11,281,3
-10,273,4
-9,296,5
-8,341,6
-7,448,0
-6,386,1
-5,408,2
-4,496,3
-3,610,4
-2,747,5
-1,907,6
