label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,0.92 (0.56-1.52)
  Medicaid,1.67 (1.12-2.47)
Age,
  Age < 18,REF
  Age 18-34,1.31 (0.89-1.83)
  Age 35-44,1.25 (0.84-1.82)
  Age 45-54,1.39 (0.98-1.96)
  Age 55-64,1.31 (0.93-1.79)
  Age >= 65,1.42 (0.80-2.65)
Female,0.79 (0.68-0.96)
Rural location,1.02 (0.50-1.78)
Asthma dx prior to delay window,1.33 (0.96-1.86)
COPD dx prior to delay window,1.61 (1.22-2.18)
Chest CT prior to delay window,2.43 (1.79-3.23)
Chest X-ray prior to delay window,1.65 (1.33-2.10)
Respiratory abx rx during delay window,3.16 (2.64-3.77)
Inhaler rx during delay window,3.31 (2.31-4.81)
Month,
  January,REF
  February,1.38 (0.96-2.09)
  March,1.57 (1.10-2.34)
  April,1.30 (0.88-1.90)
  May,1.32 (0.95-1.98)
  June,1.02 (0.72-1.53)
  July,1.11 (0.74-1.64)
  August,1.13 (0.80-1.67)
  September,1.15 (0.76-1.70)
  October,1.11 (0.80-1.73)
  November,1.23 (0.85-1.91)
  December,1.41 (0.97-2.12)
Year,
  /n2002,REF
  /n2003,1.08 (0.31-3.44)
  /n2004,0.94 (0.36-2.53)
  /n2005,1.56 (0.58-4.38)
  /n2006,1.09 (0.40-3.16)
  /n2007,1.35 (0.52-3.61)
  /n2008,1.42 (0.58-3.96)
  /n2009,1.37 (0.53-3.77)
  /n2010,1.34 (0.54-3.50)
  /n2011,1.48 (0.57-3.76)
  /n2012,1.21 (0.43-3.30)
  /n2013,1.42 (0.59-3.75)
  /n2014,1.40 (0.58-3.60)
  /n2015,1.17 (0.44-3.37)
  /n2016,1.30 (0.47-3.30)
  /n2017,0.91 (0.34-2.57)
  /n2018,1.29 (0.50-3.75)
  /n2019,1.46 (0.50-3.60)
  /n2020,1.30 (0.52-3.81)
  /n2021,2.00 (0.77-5.82)
  /n2022,1.52 (0.53-4.39)
