label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,0.91 (0.55-1.52)
  Medicaid,1.65 (1.09-2.48)
Age,
  Age < 18,REF
  Age 18-34,1.30 (0.89-1.82)
  Age 35-44,1.23 (0.83-1.79)
  Age 45-54,1.34 (0.94-1.89)
  Age 55-64,1.24 (0.88-1.70)
  Age >= 65,1.35 (0.75-2.60)
Female,0.79 (0.68-0.96)
Rural location,1.04 (0.51-1.81)
Asthma dx prior to delay window,1.29 (0.93-1.80)
COPD dx prior to delay window,1.60 (1.21-2.17)
Chest CT prior to delay window,2.44 (1.79-3.24)
Chest X-ray prior to delay window,1.61 (1.30-2.05)
Respiratory abx rx during delay window,3.15 (2.63-3.76)
Immunosuppression dx prior to delay window,2.44 (0.93-7.81)
HIV dx prior to delay window,0.64 (0.23-1.45)
Diabetes dx priorto delay window,1.27 (1.02-1.59)
Inhaler rx during delay window,3.38 (2.34-4.91)
Month,
  January,REF
  February,1.39 (0.96-2.09)
  March,1.58 (1.10-2.35)
  April,1.31 (0.89-1.92)
  May,1.31 (0.94-1.97)
  June,1.02 (0.71-1.52)
  July,1.11 (0.74-1.64)
  August,1.13 (0.79-1.67)
  September,1.14 (0.75-1.70)
  October,1.10 (0.79-1.72)
  November,1.22 (0.85-1.90)
  December,1.40 (0.95-2.09)
Year,
  /n2002,REF
  /n2003,1.09 (0.32-3.54)
  /n2004,0.93 (0.35-2.50)
  /n2005,1.55 (0.58-4.31)
  /n2006,1.08 (0.39-3.15)
  /n2007,1.31 (0.51-3.54)
  /n2008,1.39 (0.57-3.86)
  /n2009,1.33 (0.52-3.65)
  /n2010,1.28 (0.51-3.34)
  /n2011,1.44 (0.56-3.61)
  /n2012,1.17 (0.42-3.19)
  /n2013,1.38 (0.58-3.66)
  /n2014,1.36 (0.56-3.48)
  /n2015,1.11 (0.42-3.18)
  /n2016,1.27 (0.45-3.23)
  /n2017,0.87 (0.33-2.48)
  /n2018,1.23 (0.48-3.55)
  /n2019,1.42 (0.49-3.50)
  /n2020,1.22 (0.49-3.59)
  /n2021,1.90 (0.74-5.52)
  /n2022,1.45 (0.50-4.16)
