label,Estimate (95%CI)
Database Source,
  Commercial,REF
  Medicare,3.72 (-2.19-9.35)
  Medicaid,1.34 (-2.86-5.74)
Age,
  Age < 18,REF
  Age 18-34,0.97 (-4.03-5.91)
  Age 35-44,0.48 (-4.04-5.25)
  Age 45-54,1.04 (-3.51-6.18)
  Age 55-64,1.51 (-2.81-6.32)
  Age >= 65,-2.29 (-8.60-4.25)
Female,1.31 (-0.65-3.35)
Rural location,2.11 (-5.20-9.35)
Asthma dx prior to delay window,1.12 (-2.35-4.63)
COPD dx prior to delay window,3.02 (0.17-5.82)
Chest CT prior to delay window,5.34 (2.45-8.36)
Chest X-ray prior to delay window,5.37 (3.01-8.35)
Respiratory abx rx during delay window,-0.73 (-2.93-1.13)
Inhaler rx during delay window,1.85 (-0.99-4.95)
Month,
  January,REF
  February,-0.41 (-5.51-4.78)
  March,1.66 (-2.86-6.07)
  April,0.60 (-4.63-6.02)
  May,1.54 (-2.81-6.21)
  June,0.53 (-4.85-5.74)
  July,0.82 (-3.89-5.84)
  August,-1.03 (-5.90-3.99)
  September,0.55 (-4.46-5.70)
  October,-0.21 (-5.49-5.18)
  November,0.63 (-4.48-5.84)
  December,0.55 (-4.83-5.77)
Year,
  /n2002,REF
  /n2003,1.98 (-12.39-16.67)
  /n2004,4.58 (-8.49-15.08)
  /n2005,4.21 (-6.81-15.34)
  /n2006,2.21 (-9.70-12.97)
  /n2007,4.38 (-7.11-14.92)
  /n2008,3.58 (-8.26-13.90)
  /n2009,0.99 (-10.20-10.97)
  /n2010,3.25 (-8.06-13.48)
  /n2011,4.23 (-7.20-14.27)
  /n2012,2.50 (-8.69-12.71)
  /n2013,2.05 (-9.44-12.50)
  /n2014,2.86 (-8.59-14.23)
  /n2015,3.57 (-7.34-13.44)
  /n2016,2.89 (-8.00-13.31)
  /n2017,-0.01 (-11.55-10.09)
  /n2018,0.94 (-10.62-11.88)
  /n2019,4.78 (-7.28-15.35)
  /n2020,5.54 (-5.80-15.31)
  /n2021,5.25 (-6.40-16.35)
  /n2022,1.50 (-10.13-13.14)
