label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.23 (0.78-1.88)
Age,
  Age < 18,REF
  Age 18-34,1.24 (0.91-1.76)
  Age 35-44,1.33 (0.98-1.86)
  Age 45-54,1.42 (1.08-1.96)
  Age 55-64,1.35 (1.01-1.80)
  Age >= 65,1.23 (0.72-2.13)
Female,0.86 (0.76-0.97)
Rural location,0.77 (0.47-1.21)
Weekend Visit,2.56 (2.16-3.00)
Asthma dx prior to delay window,1.05 (0.80-1.30)
COPD dx prior to delay window,1.45 (1.18-1.75)
Chest CT prior to delay window,1.49 (1.26-1.76)
Chest X-ray prior to delay window,1.80 (1.57-2.15)
Infectious Disease consult during visit - Residing in top 2 highest blastomycosis incidence state,0.44 (0.25-0.72)
Infectious Disease consult during visit - Not residing in top 2 highest blastomycosis incidence state,0.95 (0.69-1.54)
Month,
  January,REF
  February,1.16 (0.90-1.60)
  March,0.98 (0.76-1.31)
  April,1.13 (0.85-1.48)
  May,0.90 (0.69-1.21)
  June,0.94 (0.67-1.29)
  July,0.86 (0.65-1.18)
  August,0.74 (0.54-1.02)
  September,0.88 (0.62-1.24)
  October,1.01 (0.72-1.32)
  November,0.83 (0.60-1.14)
  December,1.03 (0.72-1.36)
Year,
  /n2002,REF
  /n2003,1.44 (0.54-3.88)
  /n2004,2.06 (0.94-5.60)
  /n2005,2.03 (1.10-5.43)
  /n2006,1.80 (0.94-4.31)
  /n2007,1.99 (1.01-5.32)
  /n2008,2.04 (1.01-5.63)
  /n2009,2.26 (1.24-5.64)
  /n2010,1.87 (0.99-4.62)
  /n2011,2.17 (1.14-5.47)
  /n2012,1.91 (0.90-4.81)
  /n2013,2.26 (1.19-5.65)
  /n2014,2.00 (1.11-5.43)
  /n2015,2.24 (1.12-5.77)
  /n2016,1.70 (0.87-4.16)
  /n2017,1.78 (0.73-4.46)
  /n2018,2.26 (1.01-5.85)
  /n2019,2.22 (1.11-6.33)
  /n2020,2.47 (1.22-6.83)
  /n2021,2.61 (1.39-7.18)
  /n2022,2.42 (1.07-6.19)
