label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,0.61 (0.47-0.78)
  Medicaid,0.61 (0.48-0.77)
Age,
  Age < 18,REF
  Age 18-34,0.89 (0.77-1.00)
  Age 35-44,0.94 (0.82-1.08)
  Age 45-54,0.94 (0.81-1.06)
  Age 55-64,0.93 (0.82-1.05)
  Age >= 65,1.48 (1.15-1.98)
Female,0.99 (0.93-1.05)
Rural location,1.27 (1.04-1.60)
Asthma dx prior to delay window,1.34 (1.18-1.49)
COPD dx prior to delay window,1.56 (1.36-1.80)
Chest CT prior to delay window,1.42 (1.26-1.61)
Chest X-ray prior to delay window,1.21 (1.12-1.30)
Respiratory abx rx during delay window,3.42 (3.18-3.69)
Inhaler rx during delay window,2.64 (2.34-2.99)
Month,
  January,REF
  February,0.95 (0.83-1.08)
  March,0.96 (0.84-1.10)
  April,1.00 (0.86-1.15)
  May,0.95 (0.83-1.09)
  June,0.99 (0.87-1.14)
  July,0.94 (0.80-1.09)
  August,0.96 (0.84-1.09)
  September,1.07 (0.92-1.21)
  October,1.00 (0.87-1.13)
  November,1.11 (0.95-1.29)
  December,1.20 (1.04-1.37)
Year,
  /n2002,REF
  /n2003,1.20 (0.86-1.63)
  /n2004,1.55 (1.17-2.01)
  /n2005,1.44 (1.10-1.88)
  /n2006,1.43 (1.06-1.86)
  /n2007,1.45 (1.11-1.87)
  /n2008,1.55 (1.16-2.05)
  /n2009,2.14 (1.70-2.70)
  /n2010,2.43 (1.84-3.05)
  /n2011,2.42 (1.84-3.09)
  /n2012,2.18 (1.66-2.81)
  /n2013,2.11 (1.60-2.70)
  /n2014,2.03 (1.54-2.61)
  /n2015,1.71 (1.23-2.22)
  /n2016,1.99 (1.51-2.56)
  /n2017,1.83 (1.32-2.40)
  /n2018,2.10 (1.55-2.86)
  /n2019,1.95 (1.45-2.63)
  /n2020,2.34 (1.66-3.13)
  /n2021,2.27 (1.63-3.08)
  /n2022,2.17 (1.51-2.87)
