label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.08 (0.96-1.22)
Age,
  Age < 18,REF
  Age 18-34,0.99 (0.92-1.08)
  Age 35-44,1.04 (0.96-1.13)
  Age 45-54,1.15 (1.06-1.26)
  Age 55-64,1.20 (1.12-1.32)
  Age >= 65,1.24 (1.08-1.44)
Female,0.95 (0.92-0.99)
Rural location,1.06 (0.94-1.18)
Weekend Visit,2.70 (2.51-2.88)
Asthma dx prior to delay window,1.22 (1.15-1.29)
COPD dx prior to delay window,1.37 (1.30-1.45)
Chest CT prior to delay window,1.24 (1.16-1.33)
Chest X-ray prior to delay window,1.21 (1.15-1.27)
Infectious Disease consult during visit - Residing in top 2 highest coccidiomycosis incidence state,0.53 (0.45-0.62)
Infectious Disease consult during visit - Not residing in top 2 highest coccidiomycosis incidence state,0.95 (0.76-1.20)
Month,
  January,REF
  February,0.98 (0.91-1.08)
  March,0.94 (0.86-1.03)
  April,1.01 (0.92-1.08)
  May,1.05 (0.96-1.14)
  June,1.06 (0.95-1.17)
  July,1.12 (1.00-1.26)
  August,1.07 (0.98-1.16)
  September,1.09 (0.97-1.19)
  October,1.07 (0.97-1.18)
  November,1.21 (1.10-1.35)
  December,1.07 (0.98-1.16)
Year,
  /n2002,REF
  /n2003,1.10 (0.90-1.39)
  /n2004,1.00 (0.82-1.21)
  /n2005,1.05 (0.85-1.27)
  /n2006,1.07 (0.86-1.29)
  /n2007,1.05 (0.84-1.26)
  /n2008,1.24 (0.98-1.46)
  /n2009,1.12 (0.91-1.35)
  /n2010,1.18 (0.97-1.40)
  /n2011,1.09 (0.90-1.32)
  /n2012,1.10 (0.92-1.34)
  /n2013,1.07 (0.88-1.26)
  /n2014,1.09 (0.90-1.31)
  /n2015,1.18 (0.96-1.44)
  /n2016,1.17 (0.97-1.42)
  /n2017,1.38 (1.11-1.68)
  /n2018,1.28 (1.03-1.56)
  /n2019,1.36 (1.11-1.67)
  /n2020,1.29 (1.03-1.55)
  /n2021,1.23 (0.97-1.53)
  /n2022,1.06 (0.82-1.32)
