icd_codes,icd_codes_nice,icd_version,desc
0389,'038.9,9,Unspecified septicemia
07999,'079.99,9,Unspecified viral infection
135,'135,9,Sarcoidosis
1623,'162.3,9,"Malignant neoplasm of upper lobe, bronchus or lung"
1625,'162.5,9,"Malignant neoplasm of lower lobe, bronchus or lung"
1629,'162.9,9,"Malignant neoplasm of bronchus and lung, unspecified"
2123,'212.3,9,Benign neoplasm of bronchus and lung
2357,'235.7,9,"Neoplasm of uncertain behavior of trachea, bronchus, and lung"
2391,'239.1,9,Neoplasm of unspecified nature of respiratory system
2761,'276.1,9,Hyposmolality and/or hyponatremia
28419,'284.19,9,Other pancytopenia
2875,'287.5,9,"Thrombocytopenia, unspecified"
2883,'288.3,9,Eosinophilia
28860,'288.60,9,"Leukocytosis, unspecified"
3229,'322.9,9,"Meningitis, unspecified"
4239,'423.9,9,Unspecified disease of pericardium
4280,'428.0,9,"Congestive heart failure, unspecified"
4293,'429.3,9,Cardiomegaly
4619,'461.9,9,"Acute sinusitis, unspecified"
462,'462,9,Acute pharyngitis
4658,'465.8,9,Acute upper respiratory infections of other multiple sites
4659,'465.9,9,Acute upper respiratory infections of unspecified site
4660,'466.0,9,Acute bronchitis
4739,'473.9,9,Unspecified sinusitis (chronic)
481,'481,9,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
48289,'482.89,9,Pneumonia due to other specified bacteria
4829,'482.9,9,"Bacterial pneumonia, unspecified"
4838,'483.8,9,Pneumonia due to other specified organism
485,'485,9,"Bronchopneumonia, organism unspecified"
486,'486,9,"Pneumonia, organism unspecified"
4871,'487.1,9,Influenza with other respiratory manifestations
490,'490,9,"Bronchitis, not specified as acute or chronic"
49120,'491.20,9,Obstructive chronic bronchitis without exacerbation
49121,'491.21,9,Obstructive chronic bronchitis with (acute) exacerbation
4919,'491.9,9,Unspecified chronic bronchitis
4920,'492.0,9,Emphysematous bleb
4928,'492.8,9,Other emphysema
49300,'493.00,9,"Extrinsic asthma, unspecified"
49310,'493.10,9,"Intrinsic asthma, unspecified"
49320,'493.20,9,"Chronic obstructive asthma, unspecified"
49322,'493.22,9,Chronic obstructive asthma with (acute) exacerbation
49390,'493.90,9,"Asthma, unspecified type, unspecified"
49392,'493.92,9,"Asthma, unspecified type, with (acute) exacerbation"
496,'496,9,"Chronic airway obstruction, not elsewhere classified"
5110,'511.0,9,Pleurisy without mention of effusion or current tuberculosis
5111,'511.1,9,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis"
51189,'511.89,9,"Other specified forms of effusion, except tuberculous"
5119,'511.9,9,Unspecified pleural effusion
5128,'512.8,9,Other pneumothorax and air leak
51281,'512.81,9,Primary spontaneous pneumothorax
51282,'512.82,9,Secondary spontaneous pneumothorax
51283,'512.83,9,Chronic pneumothorax
51284,'512.84,9,Other air leak
51289,'512.89,9,Other pneumothorax
5130,'513.0,9,Abscess of lung
514,'514,9,Pulmonary congestion and hypostasis
515,'515,9,Postinflammatory pulmonary fibrosis
5180,'518.0,9,Pulmonary collapse
5183,'518.3,9,Pulmonary eosinophilia
51881,'518.81,9,Acute respiratory failure
51882,'518.82,9,"Other pulmonary insufficiency, not elsewhere classified"
51884,'518.84,9,Acute and chronic respiratory failure
51889,'518.89,9,"Other diseases of lung, not elsewhere classified"
51911,'519.11,9,Acute bronchospasm
6952,'695.2,9,Erythema nodosum
71940,'719.40,9,"Pain in joint, site unspecified"
7291,'729.1,9,"Myalgia and myositis, unspecified"
7806,'780.6,9,Fever and other physiologic disturbances of temperature regulation
78060,'780.60,9,"Fever, unspecified"
78061,'780.61,9,Fever presenting with conditions classified elsewhere
78062,'780.62,9,Postprocedural fever
78063,'780.63,9,Postvaccination fever
78064,'780.64,9,Chills (without fever)
78065,'780.65,9,Hypothermia not associated with low environmental temperature
78066,'780.66,9,Febrile nonhemolytic transfusion reaction
78079,'780.79,9,Other malaise and fatigue
7808,'780.8,9,Generalized hyperhidrosis
7821,'782.1,9,Rash and other nonspecific skin eruption
7822,'782.2,9,"Localized superficial swelling, mass, or lump"
78321,'783.21,9,Loss of weight
7840,'784.0,9,Headache
7842,'784.2,9,"Swelling, mass, or lump in head and neck"
7850,'785.0,9,"Tachycardia, unspecified"
7856,'785.6,9,Enlargement of lymph nodes
78600,'786.00,9,"Respiratory abnormality, unspecified"
