metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,"15,946 (59.3%)","15,562-16,343 (57.8-60.7%)"
 >=2,"9,670 (35.9%)","9,201-10,145 (34.2-37.7%)"
 >=3,"5,762 (21.4%)","5,340-6,217 (19.8-23.1%)"
 >=4,"3,457 (12.8%)","3,120-3,817 (11.6-14.2%)"
 >=5,"2,166 (8.1%)","1,913-2,427 (7.1-9.0%)"
 mean_n_miss,2.7,2.58-2.81
 median_n_miss,2,2-2
Duration of Delayed Visits ,,
 >= 1 Day,"15,946 (59.3%)","15,562-16,343 (57.8-60.7%)"
 >= 2 Days,"15,317 (56.9%)","14,929-15,721 (55.5-58.4%)"
 >= 3 Days,"15,001 (55.8%)","14,601-15,416 (54.3-57.3%)"
 >= 4 Days,"14,678 (54.6%)","14,280-15,098 (53.1-56.1%)"
 >= 5 Days,"14,358 (53.4%)","13,948-14,784 (51.8-54.9%)"
 >= 6 Days,"14,044 (52.2%)","13,629-14,482 (50.7-53.8%)"
 >= 7 Days,"13,676 (50.8%)","13,262-14,118 (49.3-52.5%)"
 >= 10 Days,"12,363 (46.0%)","11,928-12,811 (44.3-47.6%)"
 >= 14 Days,"11,113 (41.3%)","10,658-11,561 (39.6-43.0%)"
 >= 17 Days,"10,000 (37.2%)","9,507-10,481 (35.3-39.0%)"
 >= 21 Days,"9,000 (33.5%)","8,507-9,488 (31.6-35.3%)"
 >= 30 Days,"6,614 (24.6%)","6,135-7,148 (22.8-26.6%)"
 >= 45 Days,"3,907 (14.5%)","3,428-4,433 (12.7-16.5%)"
 >= 60 Days,"2,139 (8.0%)","1,764-2,576 (6.6-9.6%)"
 >= 90 Days,149 (0.6%),80-225 (0.3-0.8%)
 mean_dur,29.70,28.21-31.23
 median_dur,24.11,23.00-26.00
