metric,estimate,CI
No. of missed opportunities per patient,n total patients [AZ = 1] = 9053,
 >=1,"6,095 (67.3%)","5,931-6,286 (65.5-69.4%)"
 >=2,"3,770 (41.6%)","3,575-3,988 (39.5-44.1%)"
 >=3,"2,167 (23.9%)","1,997-2,364 (22.1-26.1%)"
 >=4,"1,214 (13.4%)","1,088-1,369 (12.0-15.1%)"
 >=5,709 (7.8%),619-814 (6.8-9.0%)
 mean_n_miss,2.57,2.46-2.68
 median_n_miss,2,2-2
Duration of Delayed Visits ,,
 >= 1 Day,"6,095 (67.3%)","5,931-6,286 (65.5-69.4%)"
 >= 2 Days,"5,914 (65.3%)","5,747-6,107 (63.5-67.5%)"
 >= 3 Days,"5,811 (64.2%)","5,644-6,006 (62.3-66.3%)"
 >= 4 Days,"5,705 (63.0%)","5,534-5,896 (61.1-65.1%)"
 >= 5 Days,"5,607 (61.9%)","5,436-5,799 (60.0-64.1%)"
 >= 6 Days,"5,505 (60.8%)","5,338-5,698 (59.0-62.9%)"
 >= 7 Days,"5,379 (59.4%)","5,208-5,573 (57.5-61.6%)"
 >= 10 Days,"4,855 (53.6%)","4,678-5,047 (51.7-55.7%)"
 >= 14 Days,"4,361 (48.2%)","4,162-4,550 (46.0-50.3%)"
 >= 17 Days,"3,919 (43.3%)","3,727-4,123 (41.2-45.5%)"
 >= 21 Days,"3,499 (38.7%)","3,302-3,711 (36.5-41.0%)"
 >= 30 Days,"2,551 (28.2%)","2,342-2,754 (25.9-30.4%)"
 >= 45 Days,"1,465 (16.2%)","1,274-1,660 (14.1-18.3%)"
 >= 60 Days,772 (8.5%),628-943 (6.9-10.4%)
 >= 90 Days,49 (0.5%),25-75 (0.3-0.8%)
 mean_dur,29.85,28.42-31.38
 median_dur,24.50,23.00-26.00
