metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,257 (24.5%),206-309 (19.6-29.5%)
 >=2,57 (5.4%),32-89 (3.1-8.5%)
 >=3,12 (1.1%),3-26 (0.3-2.5%)
 >=4,2 (0.2%),0-5 (0.0-0.5%)
 >=5,1 (0.1%),0-2 (0.0-0.2%)
 mean_n_miss,1.27,1.17-1.4
 median_n_miss,1,1-1
Duration of Delayed Visits ,,
 >= 1 Day,257 (24.5%),206-309 (19.6-29.5%)
 >= 2 Days,195 (18.6%),146-243 (13.9-23.2%)
 >= 3 Days,140 (13.3%),97-188 (9.2-17.9%)
 >= 4 Days,93 (8.9%),51-141 (4.9-13.4%)
 >= 5 Days,63 (6.0%),19-104 (1.8-9.9%)
 >= 6 Days,50 (4.8%),15-88 (1.4-8.4%)
 >= 7 Days,39 (3.7%),9-74 (0.9-7.1%)
 >= 10 Days,18 (1.7%),1-38 (0.1-3.6%)
 >= 14 Days,16 (1.5%),1-34 (0.1-3.2%)
 >= 17 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 21 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,3.78,2.78-4.69
 median_dur,2.80,2.00-3.00
