model,periodicity,method,cp,pred_bound_cp,29,17,15,13,11,9
lm,TRUE,piecewise,9,26,113.24199541174598,113.65065670185614,135.402990839654,162.01956187773433,193.23262162915424,236.00364298809254
lm,FALSE,piecewise,9,18,114.31423368338557,115.83167327247082,142.6351107938764,171.6889608578325,198.00465691022052,238.872899110238
exp,TRUE,piecewise,11,16,67.65514952415795,65.02328994457183,77.00662362406075,88.0935884697907,98.73545492179679,NA
exp,FALSE,piecewise,11,16,74.58200066537917,73.67694736693423,86.97039655306604,99.98599401666176,108.85220170790356,NA
quad,TRUE,piecewise,13,18,57.196613361991155,55.28352904078117,68.71570509119813,82.18681820479759,NA,NA
quad,FALSE,piecewise,15,18,55.62400719493563,57.35014517740583,76.91788878511787,NA,NA,NA
cubic,TRUE,piecewise,17,16,33.73817005214932,33.96738053127305,NA,NA,NA,NA
cubic,FALSE,piecewise,17,16,41.41581714121829,43.47624887288769,NA,NA,NA,NA
lm,TRUE,cusum,29,39,58.15396251328796,NA,NA,NA,NA,NA
lm,FALSE,cusum,29,37,53.724630030600174,NA,NA,NA,NA,NA
quad,TRUE,cusum,29,36,45.689593444301856,NA,NA,NA,NA,NA
quad,FALSE,cusum,29,30,44.016731933733176,NA,NA,NA,NA,NA
cubic,TRUE,cusum,29,29,34.64813061686222,NA,NA,NA,NA,NA
cubic,FALSE,cusum,29,18,40.30682575238401,NA,NA,NA,NA,NA
exp,TRUE,cusum,29,37,40.17388450839751,NA,NA,NA,NA,NA
exp,FALSE,cusum,29,30,46.12387673460171,NA,NA,NA,NA,NA
