model,periodicity,method,cp,pred_bound_cp,29,17,15,13,11,9
lm,TRUE,piecewise,9,26,113.56255396405538,113.54762235484017,123.91999392875566,149.05209766341247,176.21529803339243,210.7201988882511
lm,FALSE,piecewise,9,18,113.37905180391203,116.19144908372604,126.48058880285554,160.36316946131274,183.26794589239157,213.00545546778272
exp,TRUE,piecewise,11,16,67.54368818575095,65.39384533449875,70.05388307535878,83.23830880924807,92.95714361609141,NA
exp,FALSE,piecewise,11,16,74.04045753751689,73.98675116555695,78.6078725556583,95.89076484841158,103.75662112363737,NA
quad,TRUE,piecewise,13,18,57.31984756643797,55.61619365733511,61.42143916469921,76.0089714091743,NA,NA
quad,FALSE,piecewise,15,18,54.57755396501258,57.69696016624089,64.91589679412874,NA,NA,NA
cubic,TRUE,piecewise,17,16,33.09133441665055,34.17417042570101,NA,NA,NA,NA
cubic,FALSE,piecewise,17,16,40.07241282517395,43.679163677232744,NA,NA,NA,NA
lm,TRUE,cusum,29,39,55.65909852292642,NA,NA,NA,NA,NA
lm,FALSE,cusum,29,37,47.53686498554944,NA,NA,NA,NA,NA
quad,TRUE,cusum,29,36,44.49179438938029,NA,NA,NA,NA,NA
quad,FALSE,cusum,29,30,40.299629007308276,NA,NA,NA,NA,NA
cubic,TRUE,cusum,29,29,33.603050615137526,NA,NA,NA,NA,NA
cubic,FALSE,cusum,29,18,38.002562601067915,NA,NA,NA,NA,NA
exp,TRUE,cusum,29,37,37.60850756839511,NA,NA,NA,NA,NA
exp,FALSE,cusum,29,30,41.889107114835454,NA,NA,NA,NA,NA
