metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,"1,446 (24.1%)","1,343-1,536 (22.4-25.6%)"
 >=2,439 (7.3%),370-494 (6.2-8.2%)
 >=3,121 (2.0%),91-149 (1.5-2.5%)
 >=4,33 (0.6%),20-47 (0.3-0.8%)
 >=5,9 (0.2%),3-16 (0.1-0.3%)
 mean_n_miss,1.42,1.36-1.47
 median_n_miss,1,1-1
Duration of Delayed Visits ,,
 >= 1 Day,"1,446 (24.1%)","1,343-1,536 (22.4-25.6%)"
 >= 2 Days,"1,145 (19.1%)","1,026-1,235 (17.1-20.6%)"
 >= 3 Days,863 (14.4%),759-945 (12.7-15.8%)
 >= 4 Days,640 (10.7%),543-717 (9.1-12.0%)
 >= 5 Days,489 (8.2%),404-562 (6.7-9.4%)
 >= 6 Days,389 (6.5%),308-460 (5.1-7.7%)
 >= 7 Days,319 (5.3%),233-389 (3.9-6.5%)
 >= 10 Days,170 (2.8%),104-227 (1.7-3.8%)
 >= 14 Days,81 (1.4%),44-122 (0.7-2.0%)
 >= 17 Days,1 (0.0%),0-8 (0.0-0.1%)
 >= 21 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,4.45,4-4.86
 median_dur,3,3-3
