metric,estimate_FC,CI_FC,estimate_VC,CI_VC
No. of missed opportunities per patient,,,,
 >=1,"1,369
(22.8%)","1,278-1,460
(21.3-24.4%)","247
(23.5%)","194-286
(18.5-27.3%)"
 >=2,"411
(6.9%)","351-466
(5.9-7.8%)","52
(5.0%)","31-76
(3.0-7.2%)"
 >=3,"127
(2.1%)","97-158
(1.6-2.6%)","11
(1.0%)","3-21
(0.3-2.0%)"
 >=4,"47
(0.8%)","29-64
(0.5-1.1%)","1
(0.1%)","0-4
(0.0-0.4%)"
 >=5,"20
(0.3%)","10-31
(0.2-0.5%)","1
(0.1%)","0-1
(0.0-0.1%)"
 mean_n_miss,1.45,1.39-1.51,1.25,1.16-1.36
 median_n_miss,1,1-1,1,1-1
Duration of Delayed Visits ,,,,
 >= 1 Day,"1,369
(22.8%)","1,278-1,460
(21.3-24.4%)","247
(23.5%)","194-286
(18.5-27.3%)"
 >= 2 Days,"1,058
(17.7%)","975-1,144
(16.3-19.1%)","187
(17.8%)","142-227
(13.5-21.6%)"
 >= 3 Days,"783
(13.1%)","694-863
(11.6-14.4%)","132
(12.6%)","90-171
(8.6-16.3%)"
 >= 4 Days,"570
(9.5%)","484-638
(8.1-10.6%)","84
(8.0%)","45-118
(4.3-11.2%)"
 >= 5 Days,"422
(7.0%)","342-492
(5.7-8.2%)","55
(5.2%)","22-84
(2.1-8.0%)"
 >= 6 Days,"326
(5.4%)","245-397
(4.1-6.6%)","42
(4.0%)","11-71
(1.0-6.8%)"
 >= 7 Days,"264
(4.4%)","199-332
(3.3-5.5%)","30
(2.9%)","7-55
(0.7-5.2%)"
 >= 10 Days,"120
(2.0%)","67-174
(1.1-2.9%)","10
(1.0%)","0-22
(0.0-2.1%)"
 >= 14 Days,"32
(0.5%)","9-53
(0.2-0.9%)","8
(0.8%)","0-17
(0.0-1.6%)"
 >= 17 Days,"0
(0.0%)","0-0
(0.0-0.0%)","0
(0.0%)","0-0
(0.0-0.0%)"
 >= 21 Days,"0
(0.0%)","0-0
(0.0-0.0%)","0
(0.0%)","0-0
(0.0-0.0%)"
 mean_dur,4.02,3.67-4.43,3.43,2.64-4.22
 median_dur,3.00,3.00-3.00,2.71,2.00-3.00
