label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.36 (0.53-3.02)
  Medicaid,1.82 (1.34-2.34)
Age,
  Age < 2,REF
  Age 2-4,0.61 (0.41-0.90)
  Age 5-11,0.43 (0.29-0.63)
  Age 12-17,0.56 (0.36-0.81)
  Age 18-35,0.29 (0.21-0.40)
  Age 36-45,0.23 (0.16-0.33)
  Age 46-55,0.23 (0.16-0.34)
  Age 56-65,0.28 (0.18-0.41)
  Age >65,0.29 (0.12-0.71)
Female,0.88 (0.76-1.08)
Rural location,1.18 (0.65-2.13)
Respiratory abx rx during delay window,6.03 (4.88-7.40)
Measles vaccination prior to delay window,1.24 (0.91-1.63)
Month,
  January,REF
  February,1.01 (0.65-1.55)
  March,1.28 (0.83-1.91)
  April,1.26 (0.82-2.03)
  May,1.09 (0.68-1.64)
  June,0.85 (0.55-1.33)
  July,0.81 (0.54-1.31)
  August,0.98 (0.64-1.59)
  September,1.09 (0.68-1.68)
  October,1.19 (0.79-1.79)
  November,0.85 (0.54-1.33)
  December,1.02 (0.63-1.69)
Year,
  /n2003,REF
  /n2004,0.86 (0.32-3.03)
  /n2005,0.81 (0.31-2.37)
  /n2006,1.42 (0.62-3.91)
  /n2007,0.76 (0.33-2.33)
  /n2008,1.12 (0.53-3.13)
  /n2009,0.95 (0.47-2.64)
  /n2010,1.02 (0.50-2.93)
  /n2011,1.46 (0.75-4.06)
  /n2012,1.26 (0.64-3.51)
  /n2013,1.12 (0.51-3.36)
  /n2014,1.03 (0.52-2.86)
  /n2015,0.97 (0.48-2.75)
  /n2016,0.69 (0.30-2.02)
  /n2017,1.14 (0.49-3.20)
  /n2018,0.76 (0.34-2.17)
  /n2019,0.66 (0.33-1.86)
  /n2020,1.02 (0.45-2.80)
  /n2021,0.56 (0.24-1.62)
  /n2022,0.78 (0.32-2.30)
  /n2023,0.86 (0.38-2.67)
