metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,787 (9.6%),714-846 (8.7-10.3%)
 >=2,152 (1.8%),124-181 (1.5-2.2%)
 >=3,51 (0.6%),35-67 (0.4-0.8%)
 >=4,26 (0.3%),15-38 (0.2-0.5%)
 >=5,18 (0.2%),9-28 (0.1-0.3%)
 mean_n_miss,1.35,1.27-1.45
 median_n_miss,1,1-1
Duration of Delayed Visits ,,
 >= 1 Day,787 (9.6%),714-846 (8.7-10.3%)
 >= 2 Days,606 (7.4%),549-667 (6.7-8.1%)
 >= 3 Days,493 (6.0%),430-549 (5.2-6.7%)
 >= 4 Days,390 (4.7%),328-442 (4.0-5.4%)
 >= 5 Days,338 (4.1%),281-386 (3.4-4.7%)
 >= 6 Days,302 (3.7%),248-349 (3.0-4.2%)
 >= 7 Days,273 (3.3%),224-318 (2.7-3.9%)
 >= 10 Days,139 (1.7%),96-181 (1.2-2.2%)
 >= 14 Days,24 (0.3%),8-43 (0.1-0.5%)
 >= 17 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 21 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,5.07,4.64-5.55
 median_dur,3.43,3.00-4.00
