label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.84 (0.00-4881089.69)
  Medicaid,1.74 (0.90-3.09)
Age,
  Age < 2,REF
  Age 2-4,0.39 (0.15-0.87)
  Age 5-11,0.18 (0.09-0.35)
  Age 12-17,0.25 (0.12-0.55)
  Age 18-35,0.11 (0.05-0.22)
  Age 36-45,0.08 (0.04-0.16)
  Age 46-55,0.06 (0.03-0.13)
  Age 56-65,0.07 (0.03-0.16)
  Age >65,0.02 (0.00-117844.86)
Female,1.12 (0.86-1.50)
Rural location,0.81 (0.22-2.84)
Respiratory abx rx during delay window,6.72 (4.75-10.09)
Month,
  January,REF
  February,0.72 (0.34-1.52)
  March,1.02 (0.55-1.96)
  April,1.07 (0.55-2.09)
  May,0.82 (0.48-1.56)
  June,0.72 (0.40-1.38)
  July,0.71 (0.34-1.36)
  August,0.70 (0.39-1.29)
  September,0.97 (0.55-1.78)
  October,0.80 (0.42-1.68)
  November,0.56 (0.26-1.05)
  December,0.72 (0.37-1.43)
Year,
  /n2003,REF
  /n2004,242774.85 (0.13-4073169.13)
  /n2005,143207.10 (0.08-3231257.07)
  /n2006,271161.70 (0.30-4045176.43)
  /n2007,83904.58 (0.00-2430123.91)
  /n2008,439002.61 (0.46-5580440.60)
  /n2009,459485.07 (0.60-4589319.99)
  /n2010,445200.66 (0.60-4592535.20)
  /n2011,397748.97 (0.50-4364990.52)
  /n2012,620202.40 (0.94-6679612.79)
  /n2013,554037.74 (0.83-5724078.54)
  /n2014,451465.03 (0.64-4350689.47)
  /n2015,403131.39 (0.57-4743708.49)
  /n2016,234988.21 (0.29-2856892.32)
  /n2017,495738.23 (0.70-5708851.87)
  /n2018,283756.20 (0.38-2930288.40)
  /n2019,239083.97 (0.33-2398042.20)
  /n2020,227670.89 (0.27-2874215.66)
  /n2021,206485.83 (0.13-3048127.06)
  /n2022,236675.05 (0.28-3058057.49)
  /n2023,218396.02 (0.21-2821592.08)
