metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,894 (19.2%),804-990 (17.3-21.3%)
 >=2,137 (2.9%),103-175 (2.2-3.8%)
 >=3,27 (0.6%),14-41 (0.3-0.9%)
 >=4,9 (0.2%),2-16 (0.0-0.3%)
 >=5,4 (0.1%),0-8 (0.0-0.2%)
 mean_n_miss,1.2,1.15-1.25
 median_n_miss,1,1-1
Duration of Delayed Visits ,,
 >= 1 Day,894 (19.2%),804-990 (17.3-21.3%)
 >= 2 Days,654 (14.1%),573-742 (12.3-16.0%)
 >= 3 Days,534 (11.5%),447-620 (9.6-13.3%)
 >= 4 Days,438 (9.4%),358-522 (7.7-11.2%)
 >= 5 Days,373 (8.0%),294-459 (6.3-9.9%)
 >= 6 Days,335 (7.2%),258-420 (5.5-9.0%)
 >= 7 Days,302 (6.5%),239-373 (5.1-8.0%)
 >= 10 Days,113 (2.4%),67-162 (1.4-3.5%)
 >= 14 Days,48 (1.0%),17-77 (0.4-1.7%)
 >= 17 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 21 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,4.81,4.32-5.33
 median_dur,3.35,3.00-4.00
