metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,320 (6.9%),283-370 (6.1-8.0%)
 >=2,45 (1.0%),31-62 (0.7-1.3%)
 >=3,10 (0.2%),4-17 (0.1-0.4%)
 >=4,4 (0.1%),0-8 (0.0-0.2%)
 >=5,2 (0.0%),0-4 (0.0-0.1%)
 mean_n_miss,1.18,1.13-1.26
 median_n_miss,1,1-1
Duration of Delayed Visits ,,
 >= 1 Day,320 (6.9%),283-370 (6.1-8.0%)
 >= 2 Days,233 (5.0%),194-275 (4.2-5.9%)
 >= 3 Days,178 (3.8%),142-214 (3.1-4.6%)
 >= 4 Days,133 (2.9%),98-162 (2.1-3.5%)
 >= 5 Days,106 (2.3%),73-136 (1.6-2.9%)
 >= 6 Days,88 (1.9%),59-113 (1.3-2.4%)
 >= 7 Days,77 (1.7%),52-100 (1.1-2.2%)
 >= 10 Days,25 (0.5%),9-39 (0.2-0.8%)
 >= 14 Days,7 (0.2%),0-16 (0.0-0.3%)
 >= 17 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 21 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,4.05,3.48-4.51
 median_dur,2.94,2.00-3.00
