label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,0.92 (0.83-1.01)
  Medicaid,1.02 (0.95-1.10)
Age,
  Age < 18,REF
  Age 18-34,1.68 (1.46-1.99)
  Age 35-44,1.60 (1.40-1.89)
  Age 45-54,1.44 (1.26-1.69)
  Age 55-64,1.35 (1.18-1.59)
  Age >= 65,1.49 (1.26-1.80)
Female,0.99 (0.96-1.02)
Any obesity dx prior to index,1.50 (1.43-1.57)
Rural location,1.09 (0.98-1.23)
Antacid/PPI rx during delay window,1.37 (1.30-1.45)
Antibiotic rx during delay window,1.78 (1.70-1.84)
Antihistamine rx during delay window,1.08 (0.97-1.22)
Cough suppressant rx during delay window,1.88 (1.19-3.31)
Diuretic rx during delay window,1.40 (1.31-1.50)
Inhaler rx during delay window,1.77 (1.67-1.88)
Nasal spray rx during delay window,1.04 (0.97-1.13)
Oral steroid rx during delay window,1.97 (1.87-2.09)
Month,
  January,REF
  February,1.06 (0.99-1.14)
  March,1.10 (1.02-1.19)
  April,1.09 (1.02-1.18)
  May,1.13 (1.04-1.21)
  June,1.15 (1.06-1.25)
  July,1.13 (1.04-1.22)
  August,1.14 (1.06-1.23)
  September,1.11 (1.02-1.20)
  October,1.10 (1.02-1.19)
  November,1.12 (1.03-1.22)
  December,1.13 (1.05-1.22)
Year,
  /n2003,REF
  /n2004,1.09 (0.93-1.28)
  /n2005,1.32 (1.14-1.55)
  /n2006,1.32 (1.14-1.54)
  /n2007,1.33 (1.16-1.52)
  /n2008,1.48 (1.29-1.71)
  /n2009,1.40 (1.22-1.62)
  /n2010,1.44 (1.25-1.65)
  /n2011,1.48 (1.30-1.69)
  /n2012,1.44 (1.26-1.66)
  /n2013,1.40 (1.22-1.59)
  /n2014,1.43 (1.25-1.65)
  /n2015,1.40 (1.21-1.61)
  /n2016,1.33 (1.16-1.54)
  /n2017,1.46 (1.26-1.70)
  /n2018,1.51 (1.28-1.75)
  /n2019,1.46 (1.24-1.68)
  /n2020,1.52 (1.32-1.76)
  /n2021,1.51 (1.29-1.75)
  /n2022,1.37 (1.16-1.62)
