label,OR (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.08 (1.00-1.16)
  Medicaid,1.27 (1.21-1.33)
Age,
  Age < 18,REF
  Age 18-34,1.42 (1.26-1.58)
  Age 35-44,1.40 (1.25-1.56)
  Age 45-54,1.35 (1.21-1.50)
  Age 55-64,1.34 (1.21-1.50)
  Age >= 65,1.44 (1.28-1.63)
Female,0.97 (0.95-0.99)
Any obesity dx prior to index,1.36 (1.33-1.40)
Rural location,1.03 (0.94-1.11)
Weekend Visit,1.92 (1.85-1.99)
Month,
  January,REF
  February,1.01 (0.96-1.06)
  March,1.00 (0.96-1.05)
  April,1.03 (0.99-1.08)
  May,1.01 (0.97-1.06)
  June,1.04 (0.99-1.08)
  July,1.04 (1.00-1.09)
  August,1.01 (0.97-1.07)
  September,1.05 (1.01-1.11)
  October,0.98 (0.95-1.03)
  November,0.98 (0.93-1.03)
  December,1.06 (1.01-1.10)
Year,
  /n2003,REF
  /n2004,0.98 (0.88-1.10)
  /n2005,1.10 (0.99-1.22)
  /n2006,1.05 (0.95-1.15)
  /n2007,1.06 (0.95-1.16)
  /n2008,1.12 (1.00-1.22)
  /n2009,1.12 (1.01-1.21)
  /n2010,1.12 (1.03-1.22)
  /n2011,1.15 (1.05-1.26)
  /n2012,1.11 (1.01-1.21)
  /n2013,1.10 (1.01-1.21)
  /n2014,1.09 (1.00-1.20)
  /n2015,1.21 (1.09-1.33)
  /n2016,1.11 (1.00-1.23)
  /n2017,1.15 (1.04-1.26)
  /n2018,1.21 (1.09-1.32)
  /n2019,1.18 (1.06-1.30)
  /n2020,1.22 (1.10-1.34)
  /n2021,1.11 (1.01-1.24)
  /n2022,1.05 (0.93-1.18)
