label,OR (95%CI)
Age,
  Age < 18,REF
  Age 18-34,1.56 (1.21-2.00)
  Age 35-44,1.33 (1.06-1.72)
  Age 45-54,1.42 (1.14-1.88)
  Age 55-64,1.44 (1.16-1.82)
  Age >= 65,1.63 (1.27-2.14)
Race,
  White,REF
  Black,0.83 (0.77-0.91)
  Hispanic,0.78 (0.61-0.99)
  Other,1.08 (0.78-1.53)
  Missing/Unknown,1.00 (0.86-1.19)
Female,1.01 (0.92-1.13)
Any obesity dx prior to index,1.59 (1.46-1.77)
Rural location,0.96 (0.82-1.11)
Weekend Visit,1.87 (1.68-2.09)
Month,
  January,REF
  February,1.07 (0.93-1.26)
  March,1.08 (0.93-1.25)
  April,1.19 (1.01-1.38)
  May,1.21 (1.03-1.42)
  June,1.26 (1.07-1.53)
  July,1.22 (1.00-1.50)
  August,1.29 (1.07-1.55)
  September,1.30 (1.11-1.57)
  October,1.12 (0.94-1.35)
  November,1.11 (0.94-1.31)
  December,1.03 (0.87-1.21)
Year,
  /n2016,REF
  /n2017,1.05 (0.93-1.20)
  /n2018,1.22 (1.05-1.36)
  /n2019,1.19 (1.00-1.35)
  /n2020,1.24 (1.10-1.40)
  /n2021,0.93 (0.82-1.05)
