metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,"9,729 (93.7%)","9,657-9,788 (93.0-94.3%)"
 >=2,"8,809 (84.9%)","8,660-8,949 (83.4-86.2%)"
 >=3,"7,471 (72.0%)","7,230-7,716 (69.7-74.3%)"
 >=4,"5,863 (56.5%)","5,565-6,195 (53.6-59.7%)"
 >=5,"4,293 (41.4%)","3,989-4,651 (38.4-44.8%)"
 mean_n_miss,4.78,4.56-5.04
 median_n_miss,4,4-4
Duration of Delayed Visits ,,
 >= 1 Day,"9,729 (93.7%)","9,657-9,788 (93.0-94.3%)"
 >= 2 Days,"9,640 (92.9%)","9,568-9,702 (92.2-93.5%)"
 >= 3 Days,"9,591 (92.4%)","9,516-9,653 (91.7-93.0%)"
 >= 4 Days,"9,540 (91.9%)","9,462-9,603 (91.2-92.5%)"
 >= 5 Days,"9,506 (91.6%)","9,423-9,570 (90.8-92.2%)"
 >= 6 Days,"9,453 (91.1%)","9,364-9,518 (90.2-91.7%)"
 >= 7 Days,"9,383 (90.4%)","9,290-9,452 (89.5-91.1%)"
 >= 10 Days,"9,145 (88.1%)","9,035-9,232 (87.0-88.9%)"
 >= 14 Days,"8,838 (85.1%)","8,707-8,949 (83.9-86.2%)"
 >= 17 Days,"8,498 (81.9%)","8,348-8,628 (80.4-83.1%)"
 >= 21 Days,"8,105 (78.1%)","7,931-8,263 (76.4-79.6%)"
 >= 30 Days,"6,780 (65.3%)","6,521-7,007 (62.8-67.5%)"
 >= 45 Days,"4,821 (46.4%)","4,509-5,134 (43.4-49.5%)"
 >= 60 Days,"3,144 (30.3%)","2,780-3,476 (26.8-33.5%)"
 >= 90 Days,"1,112 (10.7%)","847-1,359 (8.2-13.1%)"
 >= 120 Days,171 (1.6%),83-265 (0.8-2.6%)
 >= 150 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 180 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,49.00,46.59-51.55
 median_dur,44.24,42.00-47.00
