metric,estimate,CI
No. of missed opportunities per patient,,
 >=1,"2,022 (61.9%)","1,769-2,206 (54.1-67.5%)"
 >=2,944 (28.9%),"696-1,152 (21.3-35.3%)"
 >=3,474 (14.5%),308-619 (9.4-18.9%)
 >=4,265 (8.1%),153-368 (4.7-11.3%)
 >=5,156 (4.8%),79-234 (2.4-7.2%)
 mean_n_miss,2.04,1.75-2.32
 median_n_miss,1.14,1-2
Duration of Delayed Visits ,,
 >= 1 Day,"2,022 (61.9%)","1,769-2,206 (54.1-67.5%)"
 >= 2 Days,"1,982 (60.7%)","1,724-2,170 (52.8-66.4%)"
 >= 3 Days,"1,964 (60.1%)","1,703-2,156 (52.1-66.0%)"
 >= 4 Days,"1,943 (59.5%)","1,680-2,137 (51.4-65.4%)"
 >= 5 Days,"1,925 (58.9%)","1,665-2,120 (51.0-64.9%)"
 >= 6 Days,"1,901 (58.2%)","1,645-2,095 (50.4-64.1%)"
 >= 7 Days,"1,871 (57.3%)","1,614-2,070 (49.4-63.4%)"
 >= 10 Days,"1,656 (50.7%)","1,387-1,858 (42.5-56.9%)"
 >= 14 Days,"1,481 (45.3%)","1,224-1,698 (37.5-52.0%)"
 >= 17 Days,"1,211 (37.1%)","943-1,436 (28.9-44.0%)"
 >= 21 Days,"1,065 (32.6%)","809-1,289 (24.8-39.5%)"
 >= 30 Days,648 (19.8%),383-898 (11.7-27.5%)
 >= 45 Days,362 (11.1%),163-617 (5.0-18.9%)
 >= 60 Days,233 (7.1%),88-414 (2.7-12.7%)
 >= 90 Days,86 (2.6%),30-189 (0.9-5.8%)
 >= 120 Days,15 (0.5%),0-47 (0.0-1.4%)
 >= 150 Days,0 (0.0%),0-0 (0.0-0.0%)
 >= 180 Days,0 (0.0%),0-0 (0.0-0.0%)
 mean_dur,28.54,23.30-34.58
 median_dur,21.34,18.00-25.00
